# NOTE: companies_this_topic = unique companies for THIS topic only. DO NOT SUM - double-counts companies across topics. Global unique total: 373352 companies (all regions 90-day).
topic,companies_this_topic,total_signals,acc_NAMER,acc_EMEA,acc_APAC,acc_LATAM,acc_ANZ,acc_Global,sig_NAMER,sig_EMEA,sig_APAC,sig_LATAM,sig_ANZ,sig_Global
customer relationship management (crm),39912,339729,4001,12018,1313,16327,861,5392,44499,86198,12509,135091,5999,55433
data visualization,16303,339290,1592,5670,546,5391,529,2575,42311,111367,11766,122692,9219,41935
Verizon Business,52914,339184,5332,18691,1987,18188,1502,7214,51840,114372,12358,113827,7063,39724
strategic marketing plans,51271,337915,4682,17385,1659,19162,1342,7041,33449,96716,11661,131612,7196,57281
data governance,61130,337122,5353,16736,1670,26667,1498,9206,41084,86720,6961,148916,6623,46818
accounts payable (ap),44580,336944,4147,13585,1655,17592,1191,6410,44388,95638,12187,128597,5909,50225
insider threat,58467,335812,5808,20560,1648,20198,1979,8274,51832,113618,6369,112446,7674,43873
background checks,31430,332913,2813,10745,868,11370,1071,4563,36084,112062,7719,126054,7974,43020
encryption,38873,332101,3683,13253,1138,14209,1028,5562,54710,116259,5688,105036,7539,42869
vulnerability assessment,55115,331716,5408,19727,1600,18335,1880,8165,44394,112240,5817,113887,8371,47007
security posture management (spm),56153,328847,5638,19351,1917,19909,1519,7819,46061,105928,9717,115852,6982,44307
mental health,50712,328340,4528,14930,1262,21196,1610,7186,29565,90805,6169,151350,6674,43777
design development,45154,327456,4651,16493,1375,14540,1512,6583,50518,116395,6978,106550,7218,39797
project management,44477,324567,4059,15683,1330,15414,1452,6539,47525,110031,7434,108686,7534,43357
management software,56015,323816,5536,16314,2125,23151,1157,7732,38893,93584,16430,128726,5727,40456
ai in finance,44881,323650,4141,13385,1964,17614,1184,6593,36198,93666,15421,123319,5970,49076
network automation,48577,323348,5142,17733,1612,15954,1432,6704,54430,107929,6752,106785,7473,39979
compliance management,51315,319882,4548,16323,1454,20195,1451,7344,35955,101783,7270,122930,7187,44757
quantum computing,34193,317109,3672,12530,1132,11220,995,4644,54718,114324,5598,94184,7485,40800
real-time visibility,34943,316487,3144,11430,1463,12913,861,5132,36621,101211,21363,114005,5982,37305
identity & access management (iam),39082,314071,4022,14209,1469,12948,1117,5317,43992,105113,7492,109800,6676,40998
expense management,30334,313702,2740,9545,1280,11626,770,4373,36905,92545,14041,121014,6111,43086
robotic process automation (rpa),37107,312124,3384,11452,1595,14401,940,5335,36498,89454,13798,123134,6125,43115
digital marketing,51292,311834,4743,17330,1695,19258,1312,6954,31927,93180,11197,125427,6865,43238
autonomous response,32032,304834,3582,12036,788,10104,1081,4441,54910,106119,4188,93049,6925,39643
pharmaceutical,55814,304736,5606,19793,1561,19108,1896,7850,48395,105802,5604,100238,6966,37731
service providers,40810,304723,4022,12873,891,16012,1245,5767,43576,95410,5561,115413,6438,38325
employee expense management,28664,302321,2638,9192,1250,10697,757,4130,36285,89723,13926,115863,6021,40503
sales coaching,36227,302176,3785,11355,1089,14321,871,4806,37246,88060,11281,118019,5703,41867
cloud email,32824,301997,3663,12217,830,10446,1093,4575,55567,105882,4414,91399,6918,37817
attack surface management (asm),49032,300964,4689,17522,1950,16715,1381,6775,41942,101699,7302,105229,6734,38058
NTT DATA,41371,300580,4148,14306,1571,14401,1245,5700,43220,104070,11143,99782,6283,36082
employee performance management,46304,298247,4712,13654,1684,18953,1020,6281,37826,81886,10242,119263,5880,43150
user experience,28047,294886,2547,11083,974,8715,791,3937,62728,100171,5909,83993,5027,37058
customer engagement,57709,294844,5308,21422,1899,19331,1659,8090,43303,98619,8128,101883,6421,36490
security operations center (soc),32665,292712,3790,12105,872,10264,1082,4552,51265,103728,4766,88650,6879,37424
private 5g,32831,291636,3012,10766,1608,12323,698,4424,29419,86839,24301,112251,5396,33430
Riverbed Technology,25642,290583,2780,9707,656,8149,847,3503,50710,106754,4805,85380,7055,35879
iot in manufacturing,15281,288385,1354,4670,791,6138,312,2016,27320,92427,23874,109688,4839,30237
data lakehouses,20362,286737,1912,6525,655,7404,625,3241,36300,77238,9793,125377,5097,32932
ai co-pilot,57428,286232,5589,21180,1656,19305,1773,7925,38394,102692,6353,94816,6570,37407
intelligent automation,55710,281628,5049,16830,2110,22569,1330,7822,28263,68005,11197,133157,4455,36551
digital infrastructure,42964,281537,4477,14945,1532,14851,1284,5875,44613,95930,10678,91723,5766,32827
sales performance,33148,279717,3623,10145,1037,13107,764,4472,36204,78310,11065,108890,5051,40197
managed detection & response (mdr),41233,279267,4306,15244,1349,13423,1169,5742,44177,91888,6463,95134,6180,35425
security automation,32407,278849,3662,12111,779,10260,1103,4492,50378,100193,4267,82445,6589,34977
security monitoring,48231,277795,4852,15867,1389,18053,1293,6777,35935,75766,6261,118734,5749,35350
free trial,68276,276349,6301,22666,2142,26088,1791,9288,30431,85233,9552,109108,5510,36515
sales metrics & kpis,21523,275942,2482,6821,730,8145,478,2867,34248,80457,11044,101091,4627,44475
network access control (nac),27072,272965,2578,9223,1140,9671,628,3832,39827,84916,8394,99300,5166,35362
erp,45329,270828,4046,13102,2048,18452,1121,6560,29054,73738,13504,110212,5248,39072
access management,43493,270111,4361,16573,1636,13582,1330,6011,44898,94601,5807,84064,5816,34925
social listening,22360,268887,2305,7510,820,8375,508,2842,29719,75879,10095,106944,6175,40075
remote patient monitoring,14708,267557,1011,2159,201,8905,294,2138,20220,37397,9829,164216,2573,33322
predictive maintenance in manufacturing,14749,265907,1326,4484,778,5906,283,1972,25365,83668,22929,101509,4257,28179
web development,19396,265715,1853,7393,666,5960,564,2960,60620,87561,5418,76937,4534,30645
preventive maintenance,26355,262645,2466,7958,912,10913,560,3546,24782,84447,16225,104005,4765,28421
test automation,22557,262561,2017,9131,767,6630,666,3346,47864,90901,5902,78929,5357,33608
cyber resilience,26126,262439,2429,9150,1196,9123,600,3628,36950,81024,8306,96483,5026,34650
regulatory compliance,47962,261163,4539,15387,1497,18602,1173,6764,38356,85772,7105,88925,5178,35827
operational technology (ot),29581,259632,2726,9228,1359,11476,642,4150,30024,79734,16787,94390,3807,34890
competitive advantage,60065,258162,5470,20528,2026,22143,1536,8362,26615,78687,8503,101922,5006,37429
data migration,52944,257258,4851,16399,2271,20340,1388,7695,29460,75994,10291,98441,4973,38099
aws,45804,257193,4584,16605,1724,15167,1300,6424,36325,81965,5791,80395,5328,47389
developer experience,20517,256369,1896,7710,709,6469,599,3134,51953,81396,5867,79566,5382,32205
ai-powered insights,47956,255978,4244,14279,1314,20115,1181,6823,23655,61702,5949,124730,4109,35833
management tools,59779,253911,5613,20343,2246,21545,1588,8444,33591,79528,8662,92814,5712,33604
product solutions,39396,253432,4020,12308,1228,15542,971,5327,31559,71522,10109,103603,4687,31952
data warehouse automation,16808,253408,1633,5772,551,5619,558,2675,32012,83878,8452,91136,6924,31006
ai-powered threat detection,43225,252469,4536,16095,1398,13932,1318,5946,43834,87580,4794,79333,5753,31175
sales compensation planning,31944,252407,3473,9726,999,12717,724,4305,33364,69766,10721,101389,4531,32636
unit testing,21453,251921,1995,8272,765,6575,620,3226,47264,83415,5770,78324,5272,31876
zero trust architecture (zta),29245,251638,2939,10787,882,9835,895,3907,36698,90328,4689,82880,5631,31412
firewalls,42690,251442,4520,15738,1326,13981,1262,5863,44142,85946,4587,81020,5585,30162
customer service,61020,250575,5616,20896,2217,22097,1671,8523,26082,81779,9869,92595,5530,34720
Threat Intelligence,464,249690,19,38,0,338,3,66,2639,10846,0,64670,348,171187
business resiliency,27666,248900,2990,10447,704,8801,928,3796,41561,92358,4412,73950,6061,30558
cloud migration,38104,248321,4143,14006,1111,12253,1208,5383,38398,91940,4365,69734,4826,39058
network management,48166,247989,4308,14965,1203,19317,1262,7111,41591,79583,4049,85654,5405,31707
social media,56329,247859,5264,18534,1669,21543,1472,7847,23496,77524,6527,97014,5764,37534
data-driven decision-making,33388,247470,3562,12551,934,10542,1112,4687,40256,89952,4339,77748,5371,29804
business intelligence (bi),30719,247394,2602,10111,1048,11419,782,4757,40478,74157,7318,89431,5037,30973
firewall as a service (fwaas),20671,246732,2066,7528,703,6849,709,2816,33630,84574,10156,82924,5444,30004
system integration,34606,246477,3578,12076,818,12239,1097,4798,38862,86594,4104,81962,5273,29682
web design,24428,246374,2203,9972,900,7217,720,3416,48908,81837,5606,72651,4626,32746
ai in healthcare,11164,245999,844,1596,154,6724,240,1606,18864,40597,5200,140037,3505,37796
website development,24399,244324,2198,9965,899,7205,720,3412,48897,81764,5601,72628,4626,30808
brand reputation management,31410,243814,3255,10800,1134,11367,780,4074,25643,70580,8137,93728,5756,39970
data privacy,44117,243334,4438,15908,1350,14922,1330,6169,40310,82248,4998,78857,5488,31433
emerging trends,62903,241837,5885,21306,2038,22778,1923,8973,27429,78147,6862,89098,6157,34144
strategic growth,68539,240800,6179,21448,2436,26629,1892,9955,24552,70547,7651,97243,5753,35054
critical infrastructure,41605,240533,4434,15421,1352,13356,1289,5753,42099,82319,4375,74951,4972,31817
technology trends,39620,239377,4310,14383,1273,12995,1211,5448,40226,82741,4615,75072,5114,31609
real-time data analysis,48281,239199,5143,17420,1450,16348,1460,6460,41178,80616,4731,76607,5520,30547
ai-ready,40684,238983,3695,13505,1487,14922,1080,5995,32811,76514,11027,83331,4733,30567
SAS,35105,238925,896,2881,431,24292,309,6296,13895,21930,1366,158953,3500,39281
decision making,40137,238685,4204,14612,1178,12945,1385,5813,38704,84174,4868,75359,5818,29762
design and development,35251,237880,3638,13958,975,10827,1193,4660,37354,88433,4031,73897,5203,28962
workforce management,52055,237698,4692,16824,1562,19962,1681,7334,25249,73957,5515,89612,5827,37538
sales effectiveness,32297,236847,3499,10932,1078,11508,902,4378,30078,76508,10408,86517,4440,28896
san,41326,236318,4251,14670,1111,14402,1245,5647,37298,81738,3596,78080,5575,30031
marketing analytics,39952,235762,4218,14508,1171,12889,1377,5789,38487,82935,4811,74322,5804,29403
talent development,55065,235703,5239,18278,1540,20587,1857,7564,27200,74705,6775,90940,5551,30532
security information & event management (siem),20030,235488,1918,7288,839,6779,432,2774,30274,75334,6818,89890,5378,27794
cloud services,42586,235316,4605,15716,1284,13807,1328,5846,42710,79564,3694,73636,5153,30559
responsive design,18761,234853,1750,7110,647,5831,549,2874,48221,77026,5300,70752,4418,29136
fleet management,34496,234025,3705,12173,846,11855,1142,4775,36431,82071,3474,77145,4999,29905
corporate performance management (cpm),20000,233543,1893,5364,1050,8592,343,2758,29773,59098,10572,93077,3936,37087
actionable insights,38520,232572,3379,11497,1025,15957,970,5692,33991,60423,5524,93164,4152,35318
mobility cybersecurity,37289,232525,3982,13479,1131,12215,1195,5287,42503,79473,4316,72069,5092,29072
digital advertising,57888,232169,5308,20607,1628,20450,1830,8065,24155,79169,6378,87567,5551,29349
security assessments,45000,230790,4559,16123,953,14854,1664,6847,31363,80667,2891,75227,6389,34253
iot devices,31028,230497,2843,10333,1428,11512,632,4280,27431,71611,11860,86005,3660,29930
best practice,49353,230057,4548,16963,1391,18002,1476,6973,25419,76877,4789,89828,5506,27638
financial institutions,42457,228480,4532,15462,1331,13987,1279,5866,41522,78192,4133,70317,5123,29193
mass customization,29550,228398,3191,11091,721,9431,1015,4101,36671,83696,3730,72017,4995,27289
peak matrix,29550,228398,3191,11091,721,9431,1015,4101,36671,83696,3730,72017,4995,27289
peak matrix assessment,29550,228398,3191,11091,721,9431,1015,4101,36671,83696,3730,72017,4995,27289
verification and validation,29550,228398,3191,11091,721,9431,1015,4101,36671,83696,3730,72017,4995,27289
technical debt,40863,228358,3874,14802,1495,13414,1189,6089,34035,76341,6290,76946,5284,29462
customer success,61409,228260,5124,21319,1866,22983,1708,8409,22097,74419,6143,87576,4577,33448
brand building,50623,227849,4621,16983,1651,19133,1288,6947,22664,68908,8021,92345,4810,31101
application development,30198,227401,2492,8669,1116,13004,574,4343,25128,65214,10316,94244,4307,28192
network segmentation,37030,226514,3545,12779,1544,12992,938,5232,32173,71503,6758,80663,4773,30644
sales presentations,18817,226325,2327,5323,643,7777,374,2373,31079,52085,7939,96571,4480,34171
cost-effective,46830,224813,4268,16140,1422,17148,1327,6525,28291,67744,4417,92697,4471,27193
customer insights,41302,224669,4329,13440,1077,15651,1112,5693,33353,73315,4403,76263,4822,32513
Amazon Web Services (AWS),42617,224589,3739,14560,1179,16106,1148,5885,12881,44545,3870,112782,2994,47517
step-by-step guide,62741,224561,6169,22176,2032,22409,1669,8286,25000,71786,6963,83868,4761,32183
insider threat detection,41903,223769,4497,14732,1126,14372,1326,5850,39801,76170,3795,70422,5016,28565
compliance regulations,49791,222535,4736,17747,1362,17135,1695,7116,27929,80165,4399,77193,5326,27523
creator marketing,36604,222442,3472,13487,1104,12554,1027,4960,21486,77904,7060,83136,5190,27666
background screening,31430,221944,2813,10745,868,11370,1071,4563,24056,74708,5146,84036,5316,28682
healthcare technology,14156,221663,940,2179,256,8422,302,2057,11591,33043,3400,143762,2934,26933
cost savings,40588,221583,3830,13193,1693,15010,1069,5793,27368,70855,10153,80197,4348,28662
success stories,57495,221427,4860,16480,1899,24940,1332,7984,24197,61325,7876,91935,3874,32220
sales process,45009,220469,4648,14658,1359,17023,1240,6081,27347,67736,8830,83067,4140,29349
software sales,38192,220170,3948,12002,1184,14970,964,5124,27540,64930,8645,88364,4086,26605
security awareness training,37144,219769,3783,13122,1091,12721,1140,5287,37280,75848,4098,70034,4910,27599
full-funnel marketing,41524,219654,3862,15256,1223,14319,1168,5696,21172,76057,6906,82445,5083,27991
detection systems,39986,219135,4324,14891,1198,12891,1231,5451,41221,75643,3890,66229,4795,27357
insurance brokerage,30773,219041,2843,10582,860,11035,1047,4406,24066,74376,5164,82599,5246,27590
group purchasing organizations (gpos),10945,219004,800,1648,149,6525,232,1591,19823,32191,5352,126499,4152,30987
precision medicine,6526,218928,497,970,103,3972,69,915,17068,29061,9705,130177,1494,31423
engine optimization,27242,218485,2698,9686,869,9539,747,3703,23149,71534,7150,78672,5799,32181
compliance,37336,218440,3760,12992,1027,13048,1198,5311,34329,78367,3234,68835,5206,28469
Boston Consulting Group,54888,218052,5229,16593,2084,21777,1404,7801,25684,63250,8131,85495,4110,31382
performance tracking,56942,217394,5424,17958,2038,22640,1340,7542,26324,60672,8630,88177,4279,29312
falcon platform,28773,216884,3138,10817,689,9174,974,3981,35937,78832,3430,66417,5148,27120
asset management,42344,216226,3800,11925,1654,18260,843,5862,21845,61283,12647,87893,4047,28511
ai governance,54962,214397,4818,17151,1493,22397,1471,7632,19158,55170,6143,100366,4197,29363
network access,39400,214226,3837,14246,1467,13280,1141,5429,30457,72263,4948,75496,4625,26437
ai technology,35849,213827,3942,12933,941,11860,1146,5027,39297,71619,3483,67428,4507,27493
payment automation,57020,213443,4987,17961,2052,21977,1742,8301,22291,66933,6322,83419,4811,29667
iot security,24209,213094,2340,8050,982,8849,524,3464,28960,64619,5997,78127,3144,32247
professional services,35256,212083,3869,13472,1009,10959,1166,4781,38244,75565,3329,63716,4673,26556
telehealth solutions,6732,211738,502,1000,121,4057,80,972,18742,28569,12670,123833,1523,26401
global network,40380,211608,3693,13330,1342,15056,1250,5709,21885,69406,10632,80620,4403,24662
natural language processing,47449,210975,4395,14530,1321,19109,1296,6798,21430,54042,6010,95459,4557,29477
data points,43765,210384,4098,15081,1347,15433,1569,6237,25242,67944,5272,78272,4981,28673
advanced technology,40996,209412,4246,14470,1052,14335,1204,5689,34057,74088,3316,65989,4617,27345
incident management,35764,208871,3981,13094,967,11561,1143,5018,36378,73681,3492,64428,4617,26275
data entry,52552,208739,4542,16455,1721,20736,1537,7561,22089,62486,5291,85880,4760,28233
online payments,47691,207891,4437,15899,1687,17347,1479,6842,23920,66462,7110,78928,4541,26930
medical information,35409,207455,3619,11912,829,13001,1078,4970,34224,68047,3457,71147,4398,26182
real-time data,30903,207061,2765,9160,1315,12659,627,4377,19224,59850,16002,83205,3478,25302
cybersecurity insights & best practices,37601,206917,3585,13046,1306,13575,1020,5069,27017,65411,6589,77894,4267,25739
ai trends,53543,204140,4616,19060,1504,19576,1548,7239,19697,66537,5603,79483,4509,28311
public sector,31481,200983,3069,10442,863,11914,863,4330,26086,57703,2878,75067,3762,35487
natural language,46869,200323,4370,16711,1427,16642,1322,6397,20530,66152,6191,76508,4827,26115
no-code development,35924,199995,3700,12444,1237,12481,1023,5039,28052,66684,9066,68293,4038,23862
remote work,33181,198974,3688,12175,800,10817,1091,4610,36705,69708,3020,60002,4448,25091
mitre att&ck,39209,198857,3988,14395,784,12490,1539,6013,26371,71248,2106,63673,5825,29634
iot sensors,19773,198725,1913,5867,889,8061,384,2659,18978,62660,15720,76476,3319,21572
product marketing,47551,198647,4741,14929,1750,18410,1181,6540,22248,60737,7414,69293,3448,35507
finance automation,29097,198596,2679,9770,1207,10539,769,4133,23821,59870,9059,75378,3900,26568
secure access service edge (sase),35190,198360,3505,13116,1412,11450,1015,4692,27602,64880,5491,72770,4202,23415
evasion techniques,38856,198141,3980,14301,622,12439,1531,5983,26322,71299,1844,63397,5822,29457
sales process optimization,28522,198074,2849,8877,799,11445,724,3828,24404,56480,7213,78994,3806,27177
